Nome_Tabela,Nome_Coluna,Tipo_Dado,Chave,Referencia_Tabela_FK,Referencia_Coluna_FK,Descricao_Coluna,Dominio_Negocio
Item_Pedido,ID_Produto,INT,FK,Produto,ID_Produto,"ID do produto no item do pedido",Vendas
Item_Pedido,Quantidade,INT,Null,,,"Quantidade do produto no item do pedido",Vendas
Item_Pedido,Preco_Venda,DECIMAL(10.2),Null,,,"Preço pelo qual o produto foi vendido no pedido",Vendas
Estoque,ID_Estoque,INT,PK,,,"Identificador único do registro de estoque",Cadeia Logística
Estoque,ID_Produto,INT,FK,Produto,ID_Produto,"ID do produto em estoque",Cadeia Logística
Estoque,Quantidade_Disponivel,INT,Null,,,"Quantidade de produtos disponível em estoque",Cadeia Logística
Estoque,Local_Armazenamento,VARCHAR(100),Null,,,"Local físico onde o produto está armazenado",Cadeia Logística
Armazem,ID_Armazem,INT,PK,,,"Identificador único do armazém",Cadeia Logística
Armazem,Nome_Armazem,VARCHAR(255),NK,,,"Nome do armazém ou centro de distribuição",Cadeia Logística
Armazem,Endereco,VARCHAR(255),Null,,,"Endereço físico do armazém",Cadeia Logística
Rota_Entrega,ID_Rota,INT,PK,,,"Identificador único da rota de entrega",Cadeia Logística
Rota_Entrega,Nome_Rota,VARCHAR(255),NK,,,"Nome ou código da rota de entrega",Cadeia Logística
Rota_Entrega,Origem,VARCHAR(100),Null,,,"Ponto de origem da rota",Cadeia Logística
Rota_Entrega,Destino,VARCHAR(100),Null,,,"Ponto de destino da rota",Cadeia Logística
Envio,ID_Envio,INT,PK,,,"Identificador único do envio/expedição",Cadeia Logística
Envio,ID_Pedido,INT,FK,Pedido,ID_Pedido,"ID do pedido sendo enviado",Cadeia Logística
Envio,ID_Rota,INT,FK,Rota_Entrega,ID_Rota,"ID da rota utilizada para o envio",Cadeia Logística
Envio,Data_Envio,DATETIME,Null,,,"Data e hora do envio",Cadeia Logística
Envio,Status_Envio,VARCHAR(50),Null,,,"Status do envio (e.g., 'Em Trânsito', 'Entregue', 'Atrasado')",Cadeia Logística
Recebimento_Materia_Prima,ID_Recebimento,INT,PK,,,"Identificador único do recebimento de matéria-prima",Cadeia Logística
Recebimento_Materia_Prima,ID_Fornecedor,INT,FK,Fornecedor,ID_Fornecedor,"ID do fornecedor da matéria-prima",Cadeia Logística
Recebimento_Materia_Prima,ID_Materia_Prima,INT,FK,Materia_Prima,ID_Materia_Prima,"ID da matéria-prima recebida",Cadeia Logística
Recebimento_Materia_Prima,Data_Recebimento,DATETIME,Null,,,"Data e hora do recebimento",Cadeia Logística
Recebimento_Materia_Prima,Quantidade_Recebida,DECIMAL(10.2),Null,,,"Quantidade de matéria-prima recebida",Cadeia Logística
Fornecedor,ID_Fornecedor,INT,PK,,,"Identificador único do fornecedor",Producao
Fornecedor,Nome_Fornecedor,VARCHAR(255),NK,,,"Nome do fornecedor",Producao
Fornecedor,Contato_Email,VARCHAR(255),Null,,,"E-mail de contato do fornecedor",Producao
Materia_Prima,ID_Materia_Prima,INT,PK,,,"Identificador único da matéria-prima",Producao
Materia_Prima,Nome_Materia_Prima,VARCHAR(255),NK,,,"Nome da matéria-prima",Producao
Materia_Prima,Unidade_Medida,VARCHAR(50),Null,,,"Unidade de medida da matéria-prima (e.g., kg, metro, litro)",Producao
Receita_Produto,ID_Receita,INT,PK,,,"Identificador único da receita de fabricação",Producao
Receita_Produto,ID_Produto,INT,FK,Produto,ID_Produto,"ID do produto final que esta receita produz",Producao
Item_Receita,ID_Item_Receita,INT,PK,,,"Identificador único de um item dentro de uma receita",Producao
Item_Receita,ID_Receita,INT,FK,Receita_Produto,ID_Receita,"ID da receita à qual o item pertence",Producao
Item_Receita,ID_Materia_Prima,INT,FK,Materia_Prima,ID_Materia_Prima,"ID da matéria-prima necessária para o item da receita",Producao
Item_Receita,Quantidade_Necessaria,DECIMAL(10.2),Null,,,"Quantidade da matéria-prima necessária para a receita",Producao
Producao_Ordem,ID_Ordem_Producao,INT,PK,,,"Identificador único da ordem de produção",Producao
Producao_Ordem,ID_Produto,INT,FK,Produto,ID_Produto,"ID do produto a ser produzido",Producao
Producao_Ordem,Quantidade_Produzir,INT,Null,,,"Quantidade de itens a serem produzidos",Producao
Producao_Ordem,Data_Inicio_Prevista,DATE,Null,,,"Data prevista para início da produção",Producao
Producao_Ordem,Status_Producao,VARCHAR(50),Null,,,"Status atual da ordem de produção",Producao
Funcionario,ID_Funcionario,INT,PK,,,"Identificador único do funcionário",RH
Funcionario,Nome_Funcionario,VARCHAR(255),Null,,,"Nome completo do funcionário",RH
Funcionario,Email_Funcionario,VARCHAR(255),NK,,,"E-mail corporativo do funcionário",RH
Funcionario,Data_Contratacao,DATE,Null,,,"Data de contratação do funcionário",RH
Cargo,ID_Cargo,INT,PK,,,"Identificador único do cargo",RH
Cargo,Nome_Cargo,VARCHAR(100),NK,,,"Nome do cargo (e.g., Engenheiro, Analista, Gerente)",RH
Funcionario_Cargo,ID_Funcionario_Cargo,INT,PK,,,"ID da associação funcionário-cargo",RH
Funcionario_Cargo,ID_Funcionario,INT,FK,Funcionario,ID_Funcionario,"ID do funcionário",RH
Funcionario_Cargo,ID_Cargo,INT,FK,Cargo,ID_Cargo,"ID do cargo",RH
Departamento,ID_Departamento,INT,PK,,,"Identificador único do departamento",RH
Departamento,Nome_Departamento,VARCHAR(100),NK,,,"Nome do departamento (e.g., RH, TI, Marketing, Vendas)",RH
Fatura_Venda,ID_Fatura_Venda,INT,PK,,,"Identificador único da fatura de venda",Financas
Fatura_Venda,ID_Pedido,INT,FK,Pedido,ID_Pedido,"ID do pedido associado a esta fatura",Financas
Fatura_Venda,Data_Fatura,DATE,Null,,,"Data de emissão da fatura",Financas
Fatura_Venda,Valor_Total,DECIMAL(10.2),Null,,,"Valor total da fatura de venda",Financas
Fatura_Venda,Status_Pagamento,VARCHAR(50),Null,,,"Status do pagamento (e.g., 'Pago', 'Pendente', 'Atrasado')",Financas
Conta_Contabil,ID_Conta_Contabil,INT,PK,,,"Identificador único da conta contábil",Financas
Conta_Contabil,Numero_Conta,VARCHAR(50),NK,,,"Número da conta contábil (ex: 1.01.01.001)",Financas
Conta_Contabil,Nome_Conta,VARCHAR(255),Null,,,"Nome da conta contábil (ex: Ativos Circulantes - Caixa)",Financas
Lancamento_Contabil,ID_Lancamento,INT,PK,,,"Identificador único do lançamento contábil",Financas
Lancamento_Contabil,ID_Conta_Contabil,INT,FK,Conta_Contabil,ID_Conta_Contabil,"ID da conta contábil do lançamento",Financas
Lancamento_Contabil,Data_Lancamento,DATE,Null,,,"Data do lançamento",Financas
Lancamento_Contabil,Valor,DECIMAL(15.2),Null,,,"Valor do lançamento (débito ou crédito)",Financas
Lancamento_Contabil,Tipo_Lancamento,VARCHAR(10),Null,,,"Tipo de lançamento (Débito, Crédito)",Financas
Centro_Custo,ID_Centro_Custo,INT,PK,,,"Identificador único do centro de custo",Financas
Centro_Custo,Nome_Centro_Custo,VARCHAR(100),NK,,,"Nome do centro de custo (e.g., Marketing, Vendas, Produção)",Financas
Lancamento_Contabil_CC,ID_Lancamento_CC,INT,PK,,,"ID da associação lançamento-centro de custo",Financas
Lancamento_Contabil_CC,ID_Lancamento,INT,FK,Lancamento_Contabil,ID_Lancamento,"ID do lançamento contábil",Financas
Lancamento_Contabil_CC,ID_Centro_Custo,INT,FK,Centro_Custo,ID_Centro_Custo,"ID do centro de custo",Financas
Pagamento_Fornecedor,ID_Pagamento_Fornecedor,INT,PK,,,"Identificador único do pagamento a fornecedor",Financas
Pagamento_Fornecedor,ID_Fornecedor,INT,FK,Fornecedor,ID_Fornecedor,"ID do fornecedor pago",Financas
Pagamento_Fornecedor,Valor_Pago,DECIMAL(15.2),Null,,,"Valor total pago",Financas
Pagamento_Fornecedor,Data_Pagamento,DATE,Null,,,"Data do pagamento",Financas
Projeto_TI,ID_Projeto_TI,INT,PK,,,"Identificador único do projeto de TI",TI
Projeto_TI,Nome_Projeto,VARCHAR(255),NK,,,"Nome do projeto de TI",TI
Projeto_TI,Descricao_Projeto,TEXT,Null,,,"Descrição detalhada do projeto",TI
Projeto_TI,Status_Projeto,VARCHAR(50),Null,,,"Status atual do projeto (e.g., 'Ativo', 'Concluído', 'Pendente')",TI
Tarefa_TI,ID_Tarefa_TI,INT,PK,,,"Identificador único da tarefa de TI",TI
Tarefa_TI,ID_Projeto_TI,INT,FK,Projeto_TI,ID_Projeto_TI,"ID do projeto de TI ao qual a tarefa pertence",TI
Tarefa_TI,Nome_Tarefa,VARCHAR(255),Null,,,"Nome da tarefa",TI
Tarefa_TI,Status_Tarefa,VARCHAR(50),Null,,,"Status da tarefa (e.g., 'Aberto', 'Em Progresso', 'Fechado')",TI
Tarefa_TI,ID_Funcionario,INT,FK,Funcionario,ID_Funcionario,"ID do funcionário responsável pela tarefa",TI
